id,sscode,office_type,name,address1,address2,address3,city,state,zipcode,tel_public,tel_admin,fax,notes
203,236,FO,STATE COLLEGE PA,Social Security Administration,SUITE 2,901 UNIVERSITY DR,STATE COLLEGE,PA,16801,(800) 772-1213,,,
204,237,FO,WEST CHESTER PA,Social Security Administration,,1101 WEST CHESTER PIKE,WEST CHESTER,PA,19382,(800) 772-1213,,,
205,238,FO,INDIANA PA,Social Security Administration,SUITE 310 PROF CENTER,1265 WAYNE AVE,INDIANA,PA,15701,(800) 772-1213,,,
206,239,FO,BUTLER PA,Social Security Administration,,102 WOODY DR,BUTLER,PA,16001,(800) 772-1213,,,
207,240,FO,LEBANON PA,Social Security Administration,,924 RUSSELL DRIVE,LEBANON,PA,17042,(800) 772-1213,,,
208,241,FO,ROSTRAVER PA,Social Security Administration,SUITE 320,800 PLAZA DR,BELLE VERNON,PA,15012,(800) 772-1213,,,
209,243,FO,UPPER DARBY PA,Social Security Administration,,8645 WEST CHESTER PIKE,UPPER DARBY,PA,19082,(800) 772-1213,,,
210,244,FO,LUDINGTON MI,Social Security Administration,,150 N JEBAVY DR,LUDINGTON,MI,49431,(866) 495-0075,,,
211,245,FO,PHILA-NICETOWN,Social Security Administration,,2929 NORTH BROAD ST,PHILADELPHIA,PA,19132,(800) 772-1213,,,
212,246,FO,WEST BRANCH MI,Social Security Administration,,2938 HANSEN RD,WEST BRANCH,MI,48661,(800) 772-1213,,,
213,248,FO,WALNUT CREEK CA,Social Security Administration,SUITE 180,1111 CIVIC DRIVE,WALNUT CREEK,CA,94596,(800) 772-1213,,,
214,249,FO,ANAHEIM CA,Social Security Administration,,900 S HARBOR BLVD,ANAHEIM,CA,92805,(800) 772-1213,,,
215,250,FO,EL CAJON CA,Social Security Administration,,846 ARNELE AVE,EL CAJON,CA,92020,(800) 772-1213,,,
216,251,FO,RIVERSIDE CA,Social Security Administration,7880 MISSION GROVE,PARKWAY SOUTH,RIVERSIDE,CA,92508,(800) 772-1213,,,
217,252,FO,SF CHINATOWN CA,Social Security Administration,,560 KEARNY STREET,SAN FRANCISCO,CA,94108,(800) 772-1213,,,
218,253,FO,UNIVERSITY VILLAGE CA,Social Security Administration,STE 201,1122 W WASHINGTON BLVD,LOS ANGELES,CA,90015,(800) 772-1213,,,
219,255,FO,LAKE CITY FL,Social Security Administration,,1348 SW BASCOM NORRIS,LAKE CITY,FL,32025,(877) 600-2859,,,
220,256,FO,PORT ST LUCIE FL,Social Security Administration,,6810 S US HWY 1,PORT ST LUCIE,FL,34952,(866) 366-1627,,,
221,257,FO,CLEARWATER FL,Social Security Administration,,2340 DREW STREET,CLEARWATER,FL,33765,(800) 772-1213,,,
222,258,FO,LEESBURG FL,Social Security Administration,SUITE 100,900 N 14TH STREET,LEESBURG,FL,34748,(866) 836-3623,,,
223,259,FO,DELAND FL,Social Security Administration,,1629 S ADELLE AVE,DELAND,FL,32720,(866) 964-7396,,,
224,260,FO,SOUTH BROWARD FL,Social Security Administration,,12249 Pembroke Rd,Pembroke Pines,FL,33025,(800) 772-1213,,,
225,261,FO,PERRINE FL,Social Security Administration,,11100 SW 211 STREET,MIAMI,FL,33189,(800) 772-1213,,,
226,262,FO,HIALEAH FL,Social Security Administration,,6500 W 21 COURT,HIALEAH,FL,33016,(800) 772-1213,,,
227,263,FO,JACKSONVILLE NORTH FL,Social Security Administration,,1685 DUNN AVE,JACKSONVILLE,FL,32218,(866) 635-0789,,,
228,264,FO,ALLAPATTAH FL,Social Security Administration,GROUND FLOOR,1251 NW 36TH STREET,MIAMI,FL,33142,(800) 772-1213,,,
229,265,FO,BRADENTON FL,Social Security Administration,SUITE 100,5540 SR 64 EAST,BRADENTON,FL,34208,(800) 772-1213,,,
230,266,FO,EAST HILLSBOROUGH FL,Social Security Administration,,2027 S Parsons Ave,Seffner,FL,33584,(800) 772-1213,,,
231,267,FO,WILMINGTON DE,Social Security Administration,SUITE 200,920 W BASIN ROAD,NEW CASTLE,DE,19720,(866) 667-7221,,,
232,268,FO,DOVER DE,Social Security Administration,SUITE 100,500 W. LOOCKERMAN ST.,DOVER,DE,19904,(877) 701-2141,,,
233,269,FO,LAKE MARY FL,Social Security Administration,101 Commerce St,Suite 2001,Lake Mary,FL,32746,(866) 964-7379,,,
234,270,FO,DC DOWNTOWN,Social Security Administration,,1300 D St SW,Washington,DC,20024,(800) 772-1213,,,
235,271,FO,SAN JUAN PR,Social Security Administration,4 PISO SJ SIF BLDG,1579 AVE PONCE DE LEON,SAN JUAN,PR,00926,(800) 772-1213,,,
236,272,FO,PONCE PR,Social Security Administration,,2190 PONCE BY-PASS,PONCE,PR,00716,(800) 772-1213,,,
237,273,FO,BALTIMORE DTN MD,Social Security Administration,SUITE 200,1010 PARK AVE,BALTIMORE,MD,21201,(800) 772-1213,,,
238,274,FO,SALISBURY MD,Social Security Administration,SUITE 1,2414 NORTHGATE DR,SALISBURY,MD,21801,(866) 273-5083,,,
239,275,FO,CUMBERLAND MD,Social Security Administration,SUITE 100,217 GLENN ST,CUMBERLAND,MD,21502,(866) 964-7409,,,
240,276,FO,HAGERSTOWN MD,Social Security Administration,SUITE 100,1710 UNDERPASS WAY,HAGERSTOWN,MD,21740,(866) 331-7125,,,
241,277,FO,ANNAPOLIS MD,Social Security Administration,Suite 114,185 Harry S Truman Pkwy,Annapolis,MD,21401,(888) 840-0684,,,
242,278,FO,TOWSON MD,Social Security Administration,4TH FLOOR,28 ALLEGHENY AVENUE,TOWSON,MD,21204,(800) 772-1213,,,
243,279,FO,MAYAGUEZ PR,Social Security Administration,OFFICE PK II BLDG,357 HOSTOS AVE,MAYAGUEZ,PR,00680,(800) 772-1213,,,
244,280,FO,ARECIBO PR,Social Security Administration,,880 ISAAC CRUZ STGO ST,ARECIBO,PR,00612,(800) 772-1213,,,
245,281,FO,CAGUAS PR,Social Security Administration,GATSBY BLDG SUITE 328,30 PADIAL ST,CAGUAS,PR,00725,(800) 772-1213,,,
246,282,FO,SILVER SPRING MD,Social Security Administration,SUITE 304,10230 NEW HAMPSHIRE AV,SILVER SPRING,MD,20903,(800) 772-1213,,,
247,283,FO,GLEN BURNIE MD,Social Security Administration,SUITE 1A,337 HOSPITAL DR,GLEN BURNIE,MD,21061,(800) 772-1213,,,
248,284,FO,ST THOMAS VI,Social Security Administration,1ST FL SUITE 14,8000 NISKY SHOPPING CT,ST THOMAS,VI,00802,(800) 772-1213,,,
249,285,FO,RICHMOND DTN VA,Social Security Administration,,1834 WEST CARY STREET,RICHMOND,VA,23220,(800) 772-1213,,,
250,286,FO,ROANOKE VA,Social Security Administration,SUITE 100,612 S JEFFERSON STREET,ROANOKE,VA,24011,(800) 772-1213,,,
251,287,FO,NORFOLK VA,Social Security Administration,FIRST FLOOR,5850 LAKE HERBERT DR,NORFOLK,VA,23502,(800) 772-1213,,,
252,288,FO,BRISTOL VA,Social Security Administration,,2484 LEE HIGHWAY,BRISTOL,VA,24202,(866) 504-5013,,,
253,289,FO,LYNCHBURG VA,Social Security Administration,,7618 TIMBERLAKE RD,LYNCHBURG,VA,24502,(866) 964-6142,,,
254,290,FO,STAUNTON VA,Social Security Administration,GRNBRIER OFF PK BLDG 2,1600 N COALTER ST,STAUNTON,VA,24401,(888) 632-6896,,,
255,291,FO,PETERSBURG VA,Social Security Administration,,100 POPLAR DRIVE,PETERSBURG,VA,23805,(877) 803-6322,,,
256,292,FO,DANVILLE VA,Social Security Administration,,3295 US HWY 29,DANVILLE,VA,24540,(866) 331-5398,,,
257,293,FO,NEWPORT NEWS VA,Social Security Administration,,11706 JEFFERSON AVENUE,NEWPORT NEWS,VA,23606,(866) 331-9169,,,
258,294,FO,ALEXANDRIA VA,Social Security Administration,PLAZA 500 SUITE 190,6295 EDSALL ROAD,ALEXANDRIA,VA,22312,(800) 772-1213,,,
259,295,FO,WINCHESTER VA,Social Security Administration,,323 HOPE DRIVE,WINCHESTER,VA,22601,(866) 331-2320,,,
260,296,FO,COVINGTON VA,Social Security Administration,,1010 S CRAIG AVENUE,COVINGTON,VA,24426,(888) 527-9334,,,
261,297,FO,CHARLOTTESVILLE,Social Security Administration,DISTRICT OFFICE,1470 PANTOPS MTN PL,CHARLOTTESVILLE,VA,22911,(866) 613-3959,,,
262,298,FO,WYTHEVILLE VA,Social Security Administration,,130 WITHERS LANE,WYTHEVILLE,VA,24382,(888) 632-6893,,,
263,299,FO,WISE VA,Social Security Administration,,253 RIDGEVIEW ROAD SW,WISE,VA,24293,(800) 772-1213,,,
264,300,FO,RICHMOND EAST VA,Social Security Administration,,245 E. WILLIAMSBURG RD,SANDSTON,VA,23150,(866) 218-2307,,,
265,301,FO,FARMVILLE VA,Social Security Administration,,324 COMMERCE ROAD,FARMVILLE,VA,23901,(866) 269-4346,,,
266,302,FO,PORTSMOUTH VA,Social Security Administration,,3305 AIRLINE BLVD,PORTSMOUTH,VA,23701,(866) 593-8851,,,
267,303,FO,SUFFOLK VA,Social Security Administration,,502 HILLPOINT BLVD,SUFFOLK,VA,23434,(866) 835-7769,,,
268,304,FO,SOUTH BOSTON VA,Social Security Administration,,2049 HAMILTON BLVD,SOUTH BOSTON,VA,24592,(888) 327-1407,,,
269,305,FO,CHARLESTON WV,Social Security Administration,SUITE 300,500 QUARRIER STREET,CHARLESTON,WV,25301,(800) 772-1213,,,
270,306,FO,WHEELING WV,Social Security Administration,,123 16TH STREET,WHEELING,WV,26003,(800) 772-1213,,,
271,307,FO,PARKERSBURG WV,Social Security Administration,SUITE 4301,425 JULIANA STREET,PARKERSBURG,WV,26101,(800) 772-1213,,,
272,308,FO,HUNTINGTON WV,Social Security Administration,301 9th Street,3rd Floor,Huntington,WV,25701,(800) 772-1213,,,
273,309,FO,CLARKSBURG WV,Social Security Administration,CLARKSBURG FEDERAL CTR,320 W PIKE ST,CLARKSBURG,WV,26301,(800) 772-1213,,,
274,310,FO,ELKINS WV,Social Security Administration,SUITE 325,300 THIRD STREET,ELKINS,WV,26241,(800) 772-1213,,,
275,311,FO,BLUEFIELD WV,Social Security Administration,,3014 E CUMBERLAND ROAD,BLUEFIELD,WV,24701,(800) 772-1213,,,
276,312,FO,MORGANTOWN WV,Social Security Administration,SUITE 100,3596 COLLINS FERRY RD,MORGANTOWN,WV,26505,(800) 772-1213,,,
277,313,FO,BECKLEY WV,Social Security Administration,SUITE A-8,5475 ROBERT C. BYRD DR,MOUNT HOPE,WV,25880,(800) 772-1213,,,
278,314,FO,LOGAN WV,Social Security Administration,,1103 GEORGE KOSTAS DR,LOGAN,WV,25601,(800) 772-1213,,,
279,315,FO,WELCH WV,Social Security Administration,,50 MCDOWELL STREET,WELCH,WV,24801,(800) 772-1213,,,
280,316,FO,MARTINSBURG WV,Social Security Administration,,14 COMPASS PT,MARTINSBURG,WV,25404,(866) 416-1919,,,
281,317,FO,FAIRMONT WV,Social Security Administration,MIDDLETOWN MALL,9039 MIDDLETOWN MALL,FAIRMONT,WV,26554,(800) 772-1213,,,
282,318,FO,FAIRFAX VA,Social Security Administration,SUITE 105,11212 WAPLES MILL RD,FAIRFAX,VA,22030,(800) 772-1213,,,
283,320,FO,CHARLOTTE NC,Social Security Administration,SUITE 100,2201 CORONATION BLVD.,CHARLOTTE,NC,28227,(800) 772-1213,,,
284,321,FO,SALISBURY NC,Social Security Administration,,1840 JAKE ALEXNDR BL W,SALISBURY,NC,28147,(877) 405-3157,,,
285,322,FO,RALEIGH NC,Social Security Administration,,4701 Old Wake Forest R,Raleigh,NC,27609,(877) 803-6311,,,
286,323,FO,ASHEVILLE NC,Social Security Administration,,800 CENTRE PARK DRIVE,ASHEVILLE,NC,28805,(866) 572-8361,,,
287,324,FO,WINSTON SALEM NC,Social Security Administration,,1370 LOCKLAND AVE,WINSTON SALEM,NC,27103,(877) 402-0828,,,
288,325,FO,GREENSBORO NC,Social Security Administration,,6005 LANDMARK CTR BLVD,GREENSBORO,NC,27407,(877) 319-3075,,,
289,326,FO,ROCKY MOUNT NC,Social Security Administration,,1071 HUNTER HILL RD,ROCKY MOUNT,NC,27804,(866) 964-0784,,,
290,327,FO,WILMINGTON NC,Social Security Administration,,1528 S 16TH ST,WILMINGTON,NC,28401,(866) 964-6227,,,
291,328,FO,DURHAM NC,Social Security Administration,Suite 200,3511 Shannon Rd,Durham,NC,27707,(888) 759-3908,,,
292,329,FO,GOLDSBORO NC,Social Security Administration,,915 W NEW HOPE ROAD,GOLDSBORO,NC,27534,(866) 964-7372,,,
293,330,FO,FAYETTEVILLE NC,Social Security Administration,,145 ROWAN ST,FAYETTEVILLE,NC,28301,(866) 964-6485,,,
294,331,FO,HICKORY NC,Social Security Administration,,1050 US HWY 321 NW,HICKORY,NC,28601,(888) 877-1615,,,
295,332,FO,GASTONIA NC,Social Security Administration,,609 COTTON BLOSSOM CIR,GASTONIA,NC,28054,(866) 331-2193,,,
296,334,FO,NEW BERN NC,Social Security Administration,,1420 MCCARTHY BLVD,NEW BERN,NC,28562,(888) 491-1885,,,
297,335,FO,GREENVILLE NC,Social Security Administration,,2805 S CHARLES BLVD,GREENVILLE,NC,27858,(866) 494-4001,,,
298,336,FO,ELIZABETH CITY NC,Social Security Administration,,1865 WEST CITY DRIVE,ELIZABETH CITY,NC,27909,(866) 572-2819,,,
299,338,FO,LUMBERTON NC,Social Security Administration,,4430 KAHN DRIVE,LUMBERTON,NC,28358,(866) 931-7099,,,
300,339,FO,WILKESBORO NC,Social Security Administration,,1517 RIVER ST,WILKESBORO,NC,28697,(866) 331-2298,,,
301,340,FO,ROANOKE RAPIDS NC,Social Security Administration,,833 GREGORY DRIVE,ROANOKE RAPIDS,NC,27870,(866) 269-2010,,,
302,341,FO,STATESVILLE NC,Social Security Administration,,2038 DAVIE AVE,STATESVILLE,NC,28625,(855) 722-3497,,,
303,342,FO,ROCKINGHAM NC,Social Security Administration,,220 EAST GREENE ST,ROCKINGHAM,NC,28379,(877) 405-7673,,,
304,343,FO,KINSTON NC,Social Security Administration,,2559 N QUEEN STREET,KINSTON,NC,28501,(866) 593-5671,,,
305,344,FO,CONCORD NC,Social Security Administration,,830 FLORENCE ST NW,CONCORD,NC,28027,(888) 366-6149,,,
306,345,FO,DETROIT-D/T MI,Social Security Administration,MCNAMARA BLDG/RM 450,477 MICHIGAN AVE,DETROIT,MI,48226,(800) 772-1213,,,
307,346,FO,MARQUETTE MI,Social Security Administration,"1ST FLOOR, STE 1",300 S FRONT ST,MARQUETTE,MI,49855,(855) 782-9154,,,
308,347,FO,GRAND RAPIDS MI,Social Security Administration,,3045 KNAPP ST NE,GRAND RAPIDS,MI,49525,(877) 319-5710,,,
309,348,FO,SAGINAW MI,Social Security Administration,,611 E. GENESEE AVE.,SAGINAW,MI,48607,(877) 405-5868,,,
310,349,FO,FLINT-DOWNTOWN,Social Security Administration,,1149 ROBERT T LONGWAY,FLINT,MI,48503,(888) 318-7282,,,
311,350,FO,PONTIAC MI,Social Security Administration,,1280 PONTIAC RD,PONTIAC,MI,48340,(800) 772-1213,,,
312,351,FO,JACKSON MI,Social Security Administration,STE 200,234 W LOUIS GLICK HWY,JACKSON,MI,49201,(877) 405-0473,,,
313,352,FO,TRAVERSE CITY MI,Social Security Administration,,1329 S DIVISION ST,TRAVERSE CITY,MI,49684,(866) 739-4802,,,
314,353,FO,KALAMAZOO MI,Social Security Administration,,317 SOUTH DRAKE ROAD,KALAMAZOO,MI,49009,(866) 331-9088,,,
315,354,FO,LANSING MI,Social Security Administration,,5210 PERRY ROBINSON,LANSING,MI,48911,(877) 512-5944,,,
316,355,FO,ESCANABA MI,Social Security Administration,,1013 1ST AVE NORTH,ESCANABA,MI,49829,(877) 545-5503,,,
317,356,FO,BAY CITY MI,Social Security Administration,,1115 WASHINGTON AVE,BAY CITY,MI,48708,(866) 366-4924,,,
318,357,FO,DETROIT-EAST MI,Social Security Administration,SUITE 200,19251 MACK AVE,DETROIT,MI,48236,(800) 772-1213,,,
319,358,FO,DETROIT-HIGH PK,Social Security Administration,,60 EAST GRAND AVENUE,HIGHLAND PARK,MI,48203,(800) 772-1213,,,
320,359,FO,BATTLE CREEK MI,Social Security Administration,5700 BECKLEY RD,STE D1,BATTLE CREEK,MI,49015,(877) 445-0829,,,
321,360,FO,MUSKEGON MI,Social Security Administration,,340 MORRIS AVENUE,MUSKEGON,MI,49440,(866) 763-2632,,,
322,361,FO,DEARBORN,Social Security Administration,SUITE 200,19853 OUTER DRIVE,DEARBORN,MI,48124,(800) 772-1213,,,
323,362,FO,FORT GRATIOT,Social Security Administration,,2620 KRAFFT RD,FORT GRATIOT,MI,48059,(877) 895-0042,,,
324,363,FO,DETROIT-NW MI,Social Security Administration,,26840 W SEVEN MILE RD,REDFORD,MI,48240,(800) 772-1213,,,
325,364,FO,ROSEVILLE MI,Social Security Administration,,15250 E 12 MILE RD,ROSEVILLE,MI,48066,(800) 772-1213,,,
326,365,FO,BENT HAR-ST JOE,Social Security Administration,,455 BOND ST,BENTON HARBOR,MI,49022,(877) 405-5457,,,
327,366,FO,ANN ARBOR MI,Social Security Administration,SUITE A,3971 RESEARCH PARK DR,ANN ARBOR,MI,48108,(800) 772-1213,,,
328,367,FO,MOUNT PLEASANT,Social Security Administration,,1940 SWEENEY ST,MT PLEASANT,MI,48858,(877) 405-7667,,,
329,368,FO,PETOSKEY MI,Social Security Administration,SUITE 8,308 STATE ST,PETOSKEY,MI,49770,(866) 574-2588,,,
330,369,FO,MONROE MI,Social Security Administration,,1300 S TELEGRAPH RD,MONROE,MI,48161,(800) 772-1213,,,
331,370,FO,ALPENA MI,Social Security Administration,,111 N 4TH AVE,ALPENA,MI,49707,(877) 452-4195,,,
332,372,FO,GRAND RIVER MI,Social Security Administration,,9222 GRAND RIVER AVE,DETROIT,MI,48204,(800) 772-1213,,,
333,373,FO,DETROIT 7 MILE WYOMING,Social Security Administration,,10201 W SEVEN MILE RD,DETROIT,MI,48221,(800) 772-1213,,,
334,374,FO,DET CONNER,Social Security Administration,,3400 CONNER ST,DETROIT,MI,48215,(800) 772-1213,,,
335,375,FO,CLAWSON MI,Social Security Administration,,140 NORTH CROOKS,CLAWSON,MI,48017,(800) 772-1213,,,
336,376,FO,TOLEDO-WEST OH,Social Security Administration,SUITE A,4906 MONROE ST,TOLEDO,OH,43623,(877) 274-5429,,,
337,378,FO,PAINESVILLE OH,Social Security Administration,,55 W JACKSON ST,PAINESVILLE,OH,44077,(800) 772-1213,,,
338,380,FO,SAN PATRICIO PR,Social Security Administration,EBANO OFFICE CENTER,"F5 EBANO ST, 2ND FL",GUAYNABO,PR,00968,(800) 772-1213,,,
339,383,FO,RICHMOND CA,Social Security Administration,,3164 GARRITY WAY,RICHMOND,CA,94806,(800) 772-1213,,,
340,384,FO,EL MONTE CA,Social Security Administration,,9351 TELSTAR AVE.,EL MONTE,CA,91731,(800) 772-1213,,,
341,385,FO,SAN JOSE EAST CA,Social Security Administration,,2500 FONTAINE RD,SAN JOSE,CA,95121,(800) 772-1213,,,
342,386,FO,WEST FRESNO CA,Social Security Administration,,865 Fulton Street,Fresno,CA,93721,(877) 311-2640,,,
343,387,FO,CINCINNATI-D/T,Social Security Administration,ROOM 2000,550 MAIN ST,CINCINNATI,OH,45202,(800) 772-1213,,,
344,388,FO,CLEVELAND DT OH,Social Security Administration,RM 793 AJC FED BLDG,1240 E 9TH ST,CLEVELAND,OH,44199,(800) 772-1213,,,
345,389,FO,COLUMBUS OH-DT,Social Security Administration,ROOM 225  FED BLDG,200 NORTH HIGH STREET,COLUMBUS,OH,43215,(866) 964-1723,,,
346,390,FO,AKRON OH,Social Security Administration,2ND FLOOR,2 S MAIN ST,AKRON,OH,44308,(800) 772-1213,,,
347,391,FO,LORAIN OH,Social Security Administration,,221 W 5TH ST,LORAIN,OH,44052,(800) 772-1213,,,
348,392,FO,ASHTABULA OH,Social Security Administration,,4815 STATE RD,ASHTABULA,OH,44004,(800) 772-1213,,,
349,393,FO,MANSFIELD OH,Social Security Administration,,1287 SOUTH TRIMBLE RD,MANSFIELD,OH,44907,(888) 491-1882,,,
350,394,FO,LIMA OH,Social Security Administration,"FEDERAL BLDG, STE 101",401 WEST NORTH ST,LIMA,OH,45801,(800) 223-0288,,,
351,395,FO,TOLEDO OH DT,Social Security Administration,Suite 1000,433 N Summit St,Toledo,OH,43604,(866) 331-2196,,,
352,396,FO,ZANESVILLE OH,Social Security Administration,,3823 JAMES COURT,ZANESVILLE,OH,43701,(855) 884-3408,,,
353,397,FO,YOUNGSTOWN OH,Social Security Administration,,354 E FEDERAL ST,YOUNGSTOWN,OH,44503,(877) 714-0393,,,
354,398,FO,SPRINGFIELD OH,Social Security Administration,,1610 N LIMESTONE ST,SPRINGFIELD,OH,45503,(877) 405-1451,,,
355,399,FO,HAMILTON OH,Social Security Administration,,6553 WINFORD AVENUE,HAMILTON,OH,45011,(800) 772-1213,,,
356,400,FO,CANTON OH,Social Security Administration,SUITE 100,301 MCKINLEY AVE. SW,CANTON,OH,44702,(877) 255-1509,,,
357,401,FO,PORTSMOUTH OH,Social Security Administration,,921 FOURTH STREET,PORTSMOUTH,OH,45662,(866) 613-3961,,,
358,402,FO,DAYTON OH,Social Security Administration,ROOM 209 FEDERAL BLDG,200 W 2ND STREET,DAYTON,OH,45402,(888) 329-5724,,,
359,403,FO,WARREN OH,Social Security Administration,1ST FLOOR,258 E MARKET STREET,WARREN,OH,44481,(866) 964-7339,,,
360,404,FO,MARION OH,Social Security Administration,,1363 WELLNESS DR,MARION,OH,43302,(888) 475-0296,,,
361,405,FO,ATHENS OH,Social Security Administration,,743A EAST STATE STREET,ATHENS,OH,45701,(877) 840-7683,,,
362,406,FO,CLEVELAND EAST OH,Social Security Administration,,3591 PARK EAST DR,BEACHWOOD,OH,44122,(800) 772-1213,,,
363,407,FO,CLEVELAND WEST OH,Social Security Administration,,17513 DETROIT AVE,LAKEWOOD,OH,44107,(800) 772-1213,,,
364,408,FO,STEUBENVILLE OH,Social Security Administration,,100 MALL DRIVE,STEUBENVILLE,OH,43952,(866) 253-6889,,,
365,409,FO,SANDUSKY OH,Social Security Administration,,252 WAYNE STREET,SANDUSKY,OH,44870,(866) 588-7397,,,
366,410,FO,CHILLICOTHE OH,Social Security Administration,,44 STONERIDGE DRIVE,CHILLICOTHE,OH,45601,(877) 452-6971,,,
367,411,FO,CINCINNATI NORTH,Social Security Administration,,10205 READING RD,CINCINNATI,OH,45241,(800) 772-1213,,,
368,412,FO,DEFIANCE OH,Social Security Administration,,273 STADIUM DR,DEFIANCE,OH,43512,(877) 600-2860,,,
369,413,FO,FINDLAY OH,Social Security Administration,,1720 E MELROSE AVE,FINDLAY,OH,45840,(877) 628-6548,,,
370,414,FO,MARIETTA OH,Social Security Administration,,1301 GREENE STREET,MARIETTA,OH,45750,(855) 433-5872,,,
371,415,FO,NEWARK OH,Social Security Administration,,125 DERBY DOWNS RD,NEWARK,OH,43055,(866) 737-3514,,,
372,416,FO,NEW PHILADELPHIA OH,Social Security Administration,SUITE 1C,1260 MONROE ST NW,NEW PHILADELPHIA,OH,44663,(866) 731-4236,,,
373,417,FO,EAST LIVERPOOL OH,Social Security Administration,,120 EAST FOURTH STREET,EAST LIVERPOOL,OH,43920,(855) 269-9178,,,
374,418,FO,PIQUA OH,Social Security Administration,,277 S LOONEY RD,PIQUA,OH,45356,(866) 931-2520,,,
375,419,FO,LANCASTER OH,Social Security Administration,,252 VENTURE PLACE,LANCASTER,OH,43130,(877) 841-5712,,,
376,420,FO,WOOSTER OH,Social Security Administration,,2345 GATEWAY DR STE B,WOOSTER,OH,44691,(877) 319-0729,,,
377,421,FO,IRONTON OH,Social Security Administration,,611 VERNON STREET,IRONTON,OH,45638,(866) 789-1073,,,
378,422,FO,AKRON-WEST OH,Social Security Administration,,2166 ROMIG RD,AKRON,OH,44320,(800) 772-1213,,,
379,423,FO,CLEVELAND NE OH,Social Security Administration,,15250 S. WATERLOO RD,CLEVELAND,OH,44110,(800) 772-1213,,,
380,424,FO,CLEVELAND SE OH,Social Security Administration,,18711 MILES AVE,WARRENSVILLE HTS,OH,44128,(800) 772-1213,,,
381,426,FO,DAYTON-WEST OH,Social Security Administration,,4375 HOOVER AVE,DAYTON,OH,45417,(877) 895-0038,,,
382,427,FO,CLEVE BUCKEYE SHAKER,Social Security Administration,,11601 SHAKER BLVD,CLEVELAND,OH,44120,(800) 772-1213,,,
383,428,FO,MAYSVILLE KY,Social Security Administration,,509 MARKETPLACE DR,MAYSVILLE,KY,41056,(855) 807-8802,,,
384,431,FO,CLEVELAND NW OH,Social Security Administration,,7517 LORAIN AVE,CLEVELAND,OH,44102,(800) 772-1213,,,
385,432,FO,CLEVELAND SW OH,Social Security Administration,SUITE 101,7344 PEARL RD,MIDDLEBURG HTS,OH,44130,(800) 772-1213,,,
386,434,FO,COMPTON CA,Social Security Administration,,171 E COMPTON BLVD,COMPTON,CA,90220,(800) 772-1213,,,
387,435,FO,NATIONAL CITY CA,Social Security Administration,GROUND FLOOR,"700 E 24TH ST, STE A",NATIONAL CITY,CA,91950,(800) 772-1213,,,
388,436,FO,CHULA VISTA CA,Social Security Administration,,626 L STREET,CHULA VISTA,CA,91911,(800) 772-1213,,,
389,437,FO,LOUISVILLE KY,Social Security Administration,ROOM 101,601 W BROADWAY,LOUISVILLE,KY,40202,(866) 716-9671,,,
390,438,FO,ASHLAND KY,Social Security Administration,ROOM 132,1405 GREENUP AVENUE,ASHLAND,KY,41101,(866) 269-3993,,,
391,439,FO,LEXINGTON KY,Social Security Administration,SUITE 110,2241 BUENA VISTA RD.,LEXINGTON,KY,40505,(866) 530-7754,,,
392,440,FO,PADUCAH KY,Social Security Administration,,125 BRETT CHASE,PADUCAH,KY,42003,(866) 614-7905,,,
393,441,FO,FRANKFORT KY,Social Security Administration,,140 FLYNN AVE,FRANKFORT,KY,40601,(866) 964-1724,,,
394,442,FO,FLORENCE KY,Social Security Administration,,7 YOUELL STREET,FLORENCE,KY,41042,(800) 772-1213,,,
395,443,FO,BOWLING GREEN KY,Social Security Administration,,2724 CHANDLER DRIVE,BOWLING GREEN,KY,42104,(877) 801-0817,,,
396,444,FO,OWENSBORO KY,Social Security Administration,,4532 LUCKY STRIKE LOOP,OWENSBORO,KY,42303,(866) 836-5834,,,
397,445,FO,CORBIN KY,Social Security Administration,,159 FUTURE DR,CORBIN,KY,40701,(877) 405-0470,,,
398,446,FO,HAZARD KY,Social Security Administration,,122 REYNOLDS LANE,HAZARD,KY,41701,(877) 405-0491,,,
399,447,FO,HOPKINSVILLE KY,Social Security Administration,,1650 MARIE DRIVE,HOPKINSVILLE,KY,42240,(877) 405-7656,,,
400,448,FO,PIKEVILLE KY,Social Security Administration,,333 HAMBLEY BLVD,PIKEVILLE,KY,41501,(888) 676-2942,,,
401,449,FO,ELIZABETHTOWN KY,Social Security Administration,,591 WESTPORT ROAD,ELIZABETHTOWN,KY,42701,(866) 596-7123,,,
402,450,FO,CAMPBELLSVILLE KY,Social Security Administration,,101 HIESTAND FARM RD,CAMPBELLSVILLE,KY,42718,(877) 828-1695,,,
403,451,FO,MIDDLESBORO KY,Social Security Administration,,10 TECH PARK DRIVE,MIDDLESBORO,KY,40965,(877) 619-2853,,,
404,452,FO,DANVILLE KY,Social Security Administration,,103 BELINDA BLVD,DANVILLE,KY,40422,(877) 512-3850,,,
405,453,FO,MADISONVILLE KY,Social Security Administration,,4431 HANSON RD,MADISONVILLE,KY,42431,(877) 626-9912,,,
406,454,FO,SOMERSET KY,Social Security Administration,,3975 S HIGHWAY 27,SOMERSET,KY,42501,(877) 714-0375,,,
407,455,FO,INDIANAPOLIS IN,Social Security Administration,RM 685,575 N PENNSYLVANIA ST,INDIANAPOLIS,IN,46204,(800) 772-1213,,,
